Phi_bin,Counts_Norm,Error
12.5,0.44724770642201833,0.0877124916329034
37.5,0.18922018348623854,0.057052031944186926
62.5,0.20642201834862386,0.05958890393012192
87.5,0.30963302752293576,0.07298120448026292
112.5,0.4988532110091743,0.09263471571905683
137.5,0.7396788990825688,0.11279997461528671
162.5,0.5160550458715596,0.09421832984607216
187.5,0.3956422018348624,0.08249710189184724
212.5,0.18922018348623854,0.057052031944186926
237.5,0.27522935779816515,0.06880733944954129
262.5,0.9461009174311926,0.12757222168169144
287.5,2.7350917431192663,0.2169068843965337
312.5,3.5779816513761467,0.24808839051357723
337.5,3.0275229357798166,0.2282081277767477
362.5,0.9461009174311926,0.12757222168169144
