Energy_keV,Area_cm2,det_Eff
1.61,666.74,1
2.41,601.34,1
3.21,614.65,1
4.02,626.22,1
4.82,632.64,1
5.62,637.38,1
6.42,640.98,1
7.23,643.87,1
8.03,646.35,1
8.83,648.14,1
9.64,649.53,1
10.44,650.7,1
11.24,649.69,1
12.05,601.96,1
12.85,590,1
13.65,567.09,1
14.45,551.82,1
15.26,558.27,1
16.06,562.23,1
16.86,564.81,1
17.67,567.42,1
18.47,570.01,0.999999999999979
19.27,571.47,0.999999999999317
20.08,573.34,0.999999999986091
20.88,574.63,0.99999999981497
21.68,575.81,0.999999998266113
22.48,576.84,0.999999987961428
23.29,577.48,0.999999932453528
24.09,578.06,0.999999704648599
24.89,578.25,0.999998902801012
25.7,578.23,0.999996448533709
26.5,578.01,0.999990127229058
27.3,577.24,0.999999999999997
28.11,576.5,0.99999999999997
28.91,574.72,0.99999999999973
29.71,572.75,0.999999999998023
30.52,571.84,0.999999999987554
31.32,567.78,0.999999999934985
32.12,562.03,1
32.92,553.25,1
33.73,538.03,1
34.53,514.07,0.999999999999999
35.33,486.83,0.999999999999992
36.14,459.34,0.999999999999948
36.94,432.64,0.999999999999713
37.74,407.11,0.999999999998596
38.55,382.86,0.999999999993846
39.35,359.92,0.999999999975889
40.15,338.26,0.999999999914463
40.95,330,0.999999999718329
41.76,330,0.99999999913908
42.56,330,0.999999997587615
43.36,330,0.999999993647199
44.17,330,0.999999984276902
44.97,330,0.999999962971946
45.77,330,0.999999918044548
46.58,330,0.999999827398437
47.38,330,0.999999649783744
48.18,330,0.999999323812208
48.98,330,0.9999987421668
49.79,330,0.999997745742709
50,3500,0.889454565456768
56.5,6800,0.906201240616047
63,10100,0.921780765684782
69.5,13400,0.931736709666833
76,16700,0.941233890907043
82.5,20000,0.946739462786511
89,19785,0.954713538131123
95.5,19570,0.960816828026925
102,19355,0.964600819222622
108.5,19140,0.965828405535041
115,18925,0.965286979584799
121.5,18710,0.96336078961939
128,18495,0.959130930218518
134.5,18280,0.952435417562687
141,18065,0.942637226166265
147.5,17850,0.930436041230322
154,17635,0.913845781015402
160.5,17420,0.897736619339227
167,17205,0.875228678287976
173.5,16990,0.854915736976206
180,16775,0.829592511371995
186.5,16560,0.80810383159695
193,16345,0.781306502052269
199.5,16130,0.758092443829066
206,15915,0.733207385687665
212.5,15700,0.710542358795839
219,15485,0.683763152768535
225.5,15270,0.661167965843796
232,15055,0.636484809891535
238.5,14840,0.61655298842558
245,14625,0.594427991518318
251.5,14410,0.574627177045217
258,14195,0.553085453502225
264.5,13980,0.535808361701546
271,13765,0.517056250943073
277.5,13550,0.499740713209929
284,13335,0.483218942561391
290.5,13120,0.468614567023757
297,12905,0.452892560719901
303.5,12690,0.440044883897227
310,12475,0.425960032794251
316.5,12260,0.413159175566467
323,12045,0.400313175023857
329.5,11830,0.390002605908839
336,11615,0.377342238507437
342.5,11400,0.367186899260323
349,11185,0.355137876830104
355.5,10970,0.346921764301513
362,10755,0.33726001701738
368.5,10540,0.329187936380997
375,10325,0.319091004658031
381.5,10110,0.312440702796391
388,9895,0.303234865194253
394.5,9680,0.297218557245261
401,9465,0.28974231507427
407.5,9250,0.282942073783052
414,9035,0.275917753390756
420.5,8820,0.270693197084036
427,8605,0.263566082359612
433.5,8390,0.258790149241371
440,8175,0.251568612939745
446.5,7960,0.248518058596014
453,7745,0.241887504172399
459.5,7530,0.236936004630774
466,7315,0.232558904069112
472.5,7100,0.227730239207371
479,6885,0.223275896289186
485.5,6670,0.218433847162872
492,6455,0.215634609615912
498.5,6240,0.211081140843868
505,6025,0.206576064019211
511.5,5810,0.203665991953362
518,5595,0.199235677544002
524.5,5380,0.195975254595713
531,5165,0.192367371874948
537.5,4950,0.190009604943629
544,4735,0.186451787795325
550.5,4520,0.183273035581171
557,4305,0.180050426968714
563.5,4090,0.177356857592139
570,3875,0.174935269542606
576.5,3660,0.171749814094893
583,3445,0.169367736967283
589.5,3230,0.166758315309726
596,3015,0.164594189053546
602.5,2800,0.16186840041854
609,2585,0.159291983196855
615.5,2370,0.15712058470177
622,2155,0.155878106298247
628.5,1940,0.153324216528454
635,1725,0.151255181698528
641.5,1510,0.148885663880762
648,1295,0.146771220366004
654.5,1080,0.145009632381048
661,865,0.143394489970658
667.5,650,0.141052340160925
674,435,0.139371294533415
680.5,220,0.137637562690998
687,100,0.135940338737945
693.5,40,0.135122257503949
