Phi_fit,Counts_fit
0.0,1.5275355915670645
0.0500069454090846,1.5268404563853626
0.1000138908181692,1.5261437159103792
0.1500208362272538,1.5254453722650965
0.2000277816363384,1.5247454275773815
0.25003472704542296,1.5240438839799793
0.3000416724545076,1.5233407436105075
0.3500486178635922,1.5226360086114479
0.4000555632726768,1.5219296811301426
0.45006250868176134,1.5212217633187854
0.5000694540908459,1.5205122573344156
0.5500763994999306,1.519801165338912
0.6000833449090152,1.5190884894989862
0.6500902903180997,1.5183742319861753
0.7000972357271844,1.517658394976836
0.750104181136269,1.5169409806521381
0.8001111265453535,1.5162219911980572
0.8501180719544381,1.5155014288053685
0.9001250173635227,1.514779295669639
0.9501319627726074,1.5140555939912237
1.0001389081816918,1.513330325975255
1.0501458535907766,1.5126034938316397
1.1001527989998612,1.5118750997750492
1.1501597444089458,1.5111451460249148
1.2001666898180303,1.5104136348054196
1.2501736352271149,1.5096805683454932
1.3001805806361995,1.5089459488788037
1.350187526045284,1.508209778643751
1.4001944714543688,1.50747205988346
1.4502014168634534,1.5067327948457745
1.500208362272538,1.5059919857832496
1.5502153076816225,1.5052496349531457
1.600222253090707,1.5045057446174197
1.6502291984997917,1.5037603170427207
1.7002361439088762,1.5030133545003808
1.7502430893179608,1.50226485926641
1.8002500347270454,1.501514833621488
1.8502569801361302,1.5007632798509576
1.9002639255452147,1.5000102002448186
1.9502708709542993,1.4992555970977184
2.0002778163633836,1.4984994727089485
2.0502847617724687,1.4977418293824343
2.1002917071815532,1.4969826694267305
2.150298652590638,1.4962219951550122
2.2003055979997224,1.495459808885069
2.250312543408807,1.4946961129392975
2.3003194888178915,1.4939309096446944
2.350326434226976,1.493164201332849
2.4003333796360606,1.4923959903399373
2.450340325045145,1.491626279006713
2.5003472704542298,1.4908550696785015
2.5503542158633143,1.4900823647051928
2.600361161272399,1.4893081664412349
2.6503681066814835,1.4885324772456245
2.700375052090568,1.4877552994819023
2.7503819974996526,1.4869766355181444
2.8003889429087376,1.4861964877269551
2.850395888317822,1.48541485848546
2.9004028337269068,1.484631750175299
2.9504097791359913,1.4838471651826188
3.000416724545076,1.483061105898065
3.0504236699541605,1.4822735747167757
3.100430615363245,1.4814845740383744
3.1504375607723296,1.4806941062669616
3.200444506181414,1.479902173811108
3.2504514515904988,1.4791087790838477
3.3004583969995833,1.47831392450267
3.350465342408668,1.4775176124895126
3.4004722878177525,1.4767198454707537
3.450479233226837,1.4759206258772057
3.5004861786359216,1.475119956144106
3.550493124045006,1.4743178387111113
3.6005000694540907,1.473514276022289
3.6505070148631757,1.472709270526111
3.7005139602722603,1.4719028246754442
3.750520905681345,1.4710949409275458
3.8005278510904295,1.4702856217440532
3.850534796499514,1.4694748695909778
3.9005417419085986,1.4686626869386978
3.950548687317683,1.4678490762619496
4.000555632726767,1.4670340400398212
4.050562578135852,1.4662175807557438
4.100569523544937,1.4653997008974848
4.150576468954021,1.4645804029571408
4.2005834143631064,1.4637596894311284
4.250590359772191,1.4629375628201782
4.300597305181276,1.4621140256293261
4.35060425059036,1.4612890803679062
4.400611195999445,1.460462729549543
4.450618141408529,1.4596349756921438
4.500625086817614,1.458805821317891
4.550632032226698,1.4579752689532346
4.600638977635783,1.4571433211288836
4.650645923044867,1.4563099803797994
4.700652868453952,1.4554752492451881
4.750659813863036,1.454639130268492
4.800666759272121,1.4538016259973818
4.850673704681206,1.4529627389837498
4.90068065009029,1.4521224717837014
4.950687595499375,1.451280826957547
5.0006945409084596,1.4504378070697954
5.050701486317545,1.4495934146891445
5.100708431726629,1.4487476523884752
5.150715377135714,1.447900522744841
5.200722322544798,1.4470520283394634
5.250729267953883,1.4462021717577214
5.300736213362967,1.4453509555891446
5.350743158772052,1.4444983824274058
5.400750104181136,1.443644454870312
5.450757049590221,1.4427891755197977
5.500763994999305,1.4419325469819158
5.55077094040839,1.44107457186683
5.600777885817475,1.4402152527888081
5.650784831226559,1.4393545923662119
5.700791776635644,1.4384925932214907
5.7507987220447285,1.4376292579811731
5.8008056674538135,1.4367645892758585
5.850812612862898,1.4358985897402097
5.900819558271983,1.4350312620129442
5.950826503681067,1.4341626087368269
6.000833449090152,1.4332926325586612
6.050840394499236,1.432421336129282
6.100847339908321,1.4315487221035466
6.150854285317405,1.4306747931403276
6.20086123072649,1.4297995519025033
6.250868176135574,1.428923001056951
6.300875121544659,1.4280451432745387
6.350882066953743,1.4271659812301163
6.400889012362828,1.426285517602508
6.450895957771913,1.425403755074504
6.5009029031809975,1.4245206963328518
6.5509098485900825,1.4236363440682491
6.600916793999167,1.4227507009753346
6.650923739408252,1.4218637697526806
6.700930684817336,1.4209755531027837
6.750937630226421,1.4200860537320577
6.800944575635505,1.4191952743508245
6.85095152104459,1.418303217673307
6.900958466453674,1.4174098864176192
6.950965411862759,1.416515283305759
7.000972357271843,1.4156194110636
7.050979302680928,1.4147222724208828
7.100986248090012,1.413823870111206
7.150993193499097,1.4129242068720196
7.2010001389081815,1.4120232854446153
7.2510070843172665,1.4111211085741182
7.3010140297263515,1.4102176790094791
7.351020975135436,1.4093129995034661
7.401027920544521,1.408407072812655
7.451034865953605,1.4074999016974226
7.50104181136269,1.4065914889219373
7.551048756771774,1.4056818372541509
7.601055702180859,1.4047709494657894
7.651062647589943,1.4038588283323465
7.701069592999028,1.4029454766330733
7.751076538408112,1.40203089715097
7.801083483817197,1.4011150926727787
7.851090429226281,1.4001980659889737
7.901097374635366,1.3992798198937533
7.9511043200444504,1.3983603571850316
8.001111265453535,1.3974396806644298
8.05111821086262,1.3965177931372672
