energy,ergcm-2s-1
4.99999999999999,1.42257430458933E-15
5.44109349193698,1.79485869621663E-15
7.49150622719812,3.40248466690106E-15
8.52003931245292,3.52541955483392E-15
9.58351848763853,3.80688924860788E-15
10.2390435406396,4.20995626380703E-15
12.4413139213832,6.02184861444384E-15
13.2923158762746,7.17046411833767E-15
16.6332976197297,1.11100374104173E-14
17.7710366784919,1.19031359859537E-14
20.2853064447298,1.30979859130659E-14
24.1995144596608,1.7869238860871E-14
26.2377434018141,2.21452960316283E-14
29.0820116114546,2.69209424915507E-14
31.5314738872913,3.06597386568051E-14
33.936838996992,3.33349452179247E-14
35.9925885039577,3.9113957176025E-14
38.8809218680962,4.56434749065009E-14
40.6343038128586,5.31146318989576E-14
42.9376390401259,5.86837279036184E-14
45.874629055205,6.48970620728539E-14
48.8326861796668,7.19990593532933E-14
51.4114196056379,8.96362132552204E-14
55.5370833802331,1.07967218649114E-13
58.4698594467928,1.19671263581033E-13
62.2400737867221,1.50708426067098E-13
66.4973752903879,1.684348801928E-13
67.4823078805225,1.84810147794056E-13
68.7340138474944,1.95822993164759E-13
70.0089372751158,2.70196957070049E-13
72.3636871846842,3.04334115058723E-13
74.7976390840617,3.32092719865556E-13
77.3134569313885,4.52374740585653E-13
