100	0.00177012
102.329	0.00169904
104.713	0.00163081
107.152	0.00156532
109.648	0.00150246
112.202	0.00144213
114.815	0.00138422
117.49	0.00132863
120.226	0.00127527
123.027	0.00122406
125.893	0.00117491
128.825	0.00112773
131.826	0.00108244
134.896	0.00103897
138.038	0.000997249
141.254	0.000957202
144.544	0.000918763
147.911	0.000881868
151.356	0.000846455
154.882	0.000812463
158.489	0.000779837
162.181	0.00074852
165.959	0.000718462
169.824	0.00068961
173.78	0.000661917
177.828	0.000635336
181.97	0.000609823
186.209	0.000585334
190.546	0.000561828
194.984	0.000539267
199.526	0.000517611
204.174	0.000496825
208.93	0.000476874
213.796	0.000457724
218.776	0.000439343
223.872	0.0004217
229.087	0.000404766
234.423	0.000388511
239.883	0.00037291
245.471	0.000357935
251.189	0.000343561
257.04	0.000329764
263.027	0.000316522
269.153	0.000303811
275.423	0.000291611
281.838	0.0002799
288.403	0.00026866
295.121	0.000257872
301.995	0.000247516
309.03	0.000237577
316.228	0.000228036
323.594	0.000218879
331.131	0.000210089
338.844	0.000201653
346.737	0.000193555
354.813	0.000185782
363.078	0.000178321
371.535	0.000171161
380.189	0.000164287
389.045	0.00015769
398.107	0.000151357
407.38	0.000145279
416.869	0.000139445
426.58	0.000133845
436.516	0.000128471
446.684	0.000123312
457.088	0.00011836
467.735	0.000113607
478.63	0.000109044
489.779	0.000104666
501.187	0.000100462
512.861	9.64281e-05
524.807	9.25558e-05
537.032	8.8839e-05
549.541	8.52715e-05
562.341	8.18472e-05
575.44	7.85604e-05
588.844	7.54056e-05
602.56	7.23775e-05
616.595	6.9471e-05
630.957	6.66812e-05
645.654	6.40035e-05
660.693	6.14333e-05
676.083	5.89663e-05
691.831	5.65983e-05
707.946	5.43255e-05
724.436	5.21439e-05
741.31	5.005e-05
758.578	4.8281e-05
776.247	4.68141e-05
794.328	4.53917e-05
812.831	4.40126e-05
831.764	4.26753e-05
851.138	4.13787e-05
870.964	4.01215e-05
891.251	3.89024e-05
912.011	3.77204e-05
933.254	3.65744e-05
954.993	3.54631e-05
977.237	3.43856e-05
1000	3.33409e-05
	
