# Spectrum file for cosima

IP LIN

DP 100 0.00243263
DP 102.329 0.002293
DP 104.713 0.00216152
DP 107.152 0.00203768
DP 109.648 0.00192104
DP 112.202 0.00181115
DP 114.815 0.00170763
DP 117.49 0.00161009
DP 120.226 0.00151818
DP 123.027 0.00143157
DP 125.893 0.00134995
DP 128.825 0.00127302
DP 131.826 0.00120051
DP 134.896 0.00113217
DP 138.038 0.00106774
DP 141.254 0.00100701
DP 144.544 0.000949752
DP 147.911 0.000895774
DP 151.356 0.000844883
DP 154.882 0.0007969
DP 158.489 0.000751659
DP 162.181 0.000709
DP 165.959 0.000668776
DP 169.824 0.000630846
DP 173.78 0.000595079
DP 177.828 0.00056135
DP 181.97 0.000529542
DP 186.209 0.000499545
DP 190.546 0.000471255
DP 194.984 0.000444575
DP 199.526 0.000419413
DP 204.174 0.000395682
DP 208.93 0.000373299
DP 213.796 0.000352188
DP 218.776 0.000332276
DP 223.872 0.000313496
DP 229.087 0.000295781
DP 234.423 0.000279072
DP 239.883 0.000263311
DP 245.471 0.000248444
DP 251.189 0.00023442
DP 257.04 0.000221191
DP 263.027 0.000208712
DP 269.153 0.000196941
DP 275.423 0.000185836
DP 281.838 0.00017536
DP 288.403 0.000165477
DP 295.121 0.000156154
DP 301.995 0.000147358
DP 309.03 0.000139061
DP 316.228 0.000131232
DP 323.594 0.000123846
DP 331.131 0.000116878
DP 338.844 0.000110304
DP 346.737 0.000104101
DP 354.813 9.8249e-05
DP 363.078 9.27273e-05
DP 371.535 8.75174e-05
DP 380.189 8.26017e-05
DP 389.045 7.79634e-05
DP 398.107 7.35869e-05
DP 407.38 6.94572e-05
DP 416.869 6.55605e-05
DP 426.58 6.18835e-05
DP 436.516 5.84138e-05
DP 446.684 5.51396e-05
DP 457.088 5.20499e-05
DP 467.735 4.91342e-05
DP 478.63 4.63828e-05
DP 489.779 4.37862e-05
DP 501.187 4.13357e-05
DP 512.861 3.90232e-05
DP 524.807 3.68407e-05
DP 537.032 3.4781e-05
DP 549.541 3.2837e-05
DP 562.341 3.10024e-05
DP 575.44 2.92708e-05
DP 588.844 2.76364e-05
DP 602.56 2.60939e-05
DP 616.595 2.46379e-05
DP 630.957 2.32637e-05
DP 645.654 2.19666e-05
DP 660.693 2.07422e-05
DP 676.083 1.95865e-05
DP 691.831 1.84955e-05
DP 707.946 1.74657e-05
DP 724.436 1.64936e-05
DP 741.31 1.5576e-05
DP 758.578 1.47097e-05
DP 776.247 1.38919e-05
DP 794.328 1.31198e-05
DP 812.831 1.2391e-05
DP 831.764 1.17029e-05
DP 851.138 1.10532e-05
DP 870.964 1.04399e-05
DP 891.251 9.86081e-06
DP 912.011 9.31407e-06
DP 933.254 8.79784e-06
DP 954.993 8.31042e-06
DP 977.237 7.8502e-06
DP 1000 7.41563e-06

