Phi_bin,Counts_Norm,Error
2.5,1.5991116046640754,0.25284174517726077
7.5,1.039422543031649,0.2038475319148698
12.5,1.6390893947806773,0.2559827568546169
17.5,0.7995558023320377,0.17878611258188212
22.5,0.9594669627984453,0.19585037365951005
27.5,1.1193781232648528,0.21154258122892897
32.5,0.8795113825652415,0.18751245680582285
37.5,0.719600222098834,0.1696113989298104
42.5,0.8395335924486397,0.1832012493263856
47.5,0.5996668517490283,0.15483331533977457
52.5,0.679622431982232,0.16483265132952335
57.5,0.5197112715158245,0.1441419721451456
62.5,0.359800111049417,0.11993337034980567
67.5,0.5197112715158245,0.1441419721451456
72.5,0.3198223209328151,0.11307426595320694
77.5,0.359800111049417,0.11993337034980567
82.5,0.5197112715158245,0.1441419721451456
87.5,0.359800111049417,0.11993337034980567
92.5,0.5197112715158245,0.1441419721451456
97.5,0.43975569128262076,0.1325913297643469
102.5,0.6396446418656302,0.15991116046640755
107.5,0.9194891726818434,0.191726746073579
112.5,0.9594669627984453,0.19585037365951005
117.5,1.2792892837312604,0.22614853190641387
122.5,1.1593559133814548,0.21528698840293406
127.5,1.1993337034980567,0.2189673744606994
132.5,1.1993337034980567,0.2189673744606994
137.5,1.2393114936146585,0.22258691511591425
142.5,1.5591338145474736,0.24966121925857004
147.5,1.5991116046640754,0.25284174517726077
152.5,1.439200444197668,0.23986674069961134
157.5,1.9988895058300944,0.28268566488301733
162.5,1.7190449750138812,0.262151901027065
167.5,1.5591338145474736,0.24966121925857004
172.5,1.359244863964464,0.2331085710321275
177.5,1.5991116046640754,0.25284174517726077
182.5,1.5191560244308717,0.24643964920253542
187.5,1.439200444197668,0.23986674069961134
192.5,1.359244863964464,0.2331085710321275
197.5,1.359244863964464,0.2331085710321275
202.5,1.079400333148251,0.20773069096883814
207.5,0.7595780122154359,0.17425914710434676
212.5,1.039422543031649,0.2038475319148698
217.5,0.6396446418656302,0.15991116046640755
222.5,0.3198223209328151,0.11307426595320694
227.5,0.43975569128262076,0.1325913297643469
232.5,0.6396446418656302,0.15991116046640755
237.5,0.5596890616324264,0.14958319369668172
242.5,0.15991116046640755,0.07995558023320377
247.5,0.23986674069961134,0.09792518682975503
252.5,0.47973348139922267,0.13848712731255874
257.5,0.07995558023320377,0.05653713297660347
262.5,0.359800111049417,0.11993337034980567
267.5,0.359800111049417,0.11993337034980567
272.5,0.5596890616324264,0.14958319369668172
277.5,0.7595780122154359,0.17425914710434676
282.5,0.679622431982232,0.16483265132952335
287.5,0.679622431982232,0.16483265132952335
292.5,0.9194891726818434,0.191726746073579
297.5,1.039422543031649,0.2038475319148698
302.5,1.2393114936146585,0.22258691511591425
307.5,1.1193781232648528,0.21154258122892897
312.5,1.1193781232648528,0.21154258122892897
317.5,1.359244863964464,0.2331085710321275
322.5,1.5591338145474736,0.24966121925857004
327.5,1.799000555247085,0.2681791688728232
332.5,1.4791782343142699,0.24317540376539243
337.5,2.3187118267629097,0.3044617788018886
342.5,1.439200444197668,0.23986674069961134
347.5,1.5191560244308717,0.24643964920253542
352.5,1.5191560244308717,0.24643964920253542
357.5,1.8389783453636868,0.271142564566918
