Energy_keV,Eff
50,0.8897402311843833 
56.5,0.9064152020935032 
63.0,0.9218118699688681 
69.5,0.9314441105947551 
76.0,0.9406572893992344 
82.5,0.9464132032661499 
89.0,0.9522849606422411 
95.5,0.9547888293069244 
102.0,0.9502545502250911 
108.5,0.9402051106388213 
115.0,0.9211060050509068 
121.5,0.8999174009549155 
128.0,0.8696218485284637 
134.5,0.8397917867344754 
141.0,0.8027276348275045 
147.5,0.7693047153686237 
154.0,0.7295994805131797 
160.5,0.697118950285546 
167.0,0.6588801321825821 
173.5,0.6262314921763125 
180.0,0.5899372283467834 
186.5,0.5608804644424185 
193.0,0.5290890799449383 
199.5,0.5023212992135532 
206.0,0.4754450277446013 
212.5,0.4530659932817114 
219.0,0.4279658868951764 
225.5,0.4059810781626517 
232.0,0.3836188866820231 
238.5,0.36723460729206897 
245.0,0.34604451222576277 
251.5,0.3310571470946649 
258.0,0.31479870545661054 
264.5,0.2996496510833729 
271.0,0.28552311517005147 
277.5,0.27412121685631285 
284.0,0.2604837395869987 
290.5,0.25048260171665376 
297.0,0.24001277554878542 
303.5,0.2306872848332357 
310.0,0.2199533749987709 
316.5,0.21245632487628927 
323.0,0.2041331585136686 
329.5,0.19710421402353254 
336.0,0.1896955343755328 
342.5,0.18264524097861304 
349.0,0.17541129636025377 
355.5,0.17040065516576983 
362.0,0.1633855375449888 
368.5,0.15869159474833416 
375.0,0.15323452052736414 
381.5,0.1486656789226107 
388.0,0.14361287584932797 
394.5,0.14057379869160497 
401.0,0.13498132649503414 
407.5,0.13142710910699432 
414.0,0.12696041340058312 
420.5,0.1243046413088269 
427.0,0.1199293624827303 
433.5,0.11669734744384198 
440.0,0.11362362529893594 
446.5,0.11104072757874121 
453.0,0.10819013417762001 
459.5,0.1048665067859194 
466.0,0.1025162890975593 
472.5,0.10035501849180475 
479.0,0.09775789254662265 
485.5,0.09584266383779884 
492.0,0.09329128085009553 
498.5,0.09125479232994854 
505.0,0.08924258252507414 
511.5,0.08666082335023242 
518.0,0.08486796270451884 
524.5,0.08404495077786604 
531.0,0.08152357949887211 
537.5,0.08001528454943861 
544.0,0.07851820335032436 
550.5,0.0767306962100956 
557.0,0.0749216730743942 
563.5,0.07308685261570654 
570.0,0.07209102709107389 
576.5,0.07081118323274568 
583.0,0.06954808038659119 
589.5,0.06803869757643781 
596.0,0.06680435834300005 
602.5,0.06585359361073319 
609.0,0.06465987787650346 
615.5,0.06360696810221685 
622.0,0.062210061603503765 
628.5,0.06121441739216668 
635.0,0.05996131469080394 
641.5,0.059620031491419465 
648.0,0.05805136597893318 
654.5,0.05742885372434985 
661.0,0.05611104262545556 
667.5,0.0555223130038094 
674.0,0.05472365731980493 
680.5,0.05378218621060752 
687.0,0.05262698916582766 
693.5,0.05203571190052417 
