Energy_keV,Eff
50,0.8893716672087649 
56.5,0.9067375107844925 
63.0,0.9215248993687344 
69.5,0.9320250315953204 
76.0,0.9410309911812291 
82.5,0.9467579312959795 
89.0,0.9545790476254755 
95.5,0.9607632142227779 
102.0,0.964528076726899 
108.5,0.9664530595740584 
115.0,0.9674259394654813 
121.5,0.967324110049234 
128.0,0.9678225414668306 
134.5,0.9680515320499462 
141.0,0.9678758338666743 
147.5,0.9671544791701681 
154.0,0.9648778807001873 
160.5,0.9633347951906538 
167.0,0.9597118236866621 
173.5,0.955411646734305 
180.0,0.9493113368857293 
186.5,0.9427854692823218 
193.0,0.9339631623088481 
199.5,0.9258678786846496 
206.0,0.9150386248263163 
212.5,0.9049287030178073 
219.0,0.8911158608245024 
225.5,0.8788822477896536 
232.0,0.8653530089147183 
238.5,0.8519234776177248 
245.0,0.8361280121483402 
251.5,0.822878232482683 
258.0,0.8068313746882249 
264.5,0.7928866203165599 
271.0,0.7768481510414605 
277.5,0.7631232489535807 
284.0,0.7484443509667994 
290.5,0.7351713846888265 
297.0,0.7199312799358396 
303.5,0.7074353667733628 
310.0,0.6933911727130975 
316.5,0.6807933626464393 
323.0,0.6673091813957616 
329.5,0.6548186913733826 
336.0,0.6415578592311993 
342.5,0.6310620805959358 
349.0,0.6186654691337297 
355.5,0.6086491607590027 
362.0,0.5962748242464307 
368.5,0.5861051296004087 
375.0,0.5759772766513027 
381.5,0.5671352172780092 
388.0,0.555943201139413 
394.5,0.5477148121804027 
401.0,0.5378157071175907 
407.5,0.5305090911332868 
414.0,0.5202264539222246 
420.5,0.5126660369649234 
427.0,0.5046389368288547 
433.5,0.49611447506659234 
440.0,0.48860053150212784 
446.5,0.4825557170889147 
453.0,0.4731426140487452 
459.5,0.46746604420561 
466.0,0.46076369225286357 
472.5,0.45443076417258066 
479.0,0.4464798446010431 
485.5,0.44132144845058385 
492.0,0.43450294057725936 
498.5,0.42925662361007644 
505.0,0.42339239545671203 
511.5,0.41818534573692556 
518.0,0.41243464794897294 
524.5,0.40760214616462764 
531.0,0.40255939847894223 
537.5,0.3984828560191824 
544.0,0.3937260111959003 
550.5,0.3876581701560569 
557.0,0.3839126849207942 
563.5,0.37901437170143054 
570.0,0.3737880042865672 
576.5,0.3711800368852946 
583.0,0.3667483899960883 
589.5,0.3615371850303583 
596.0,0.3576518987494722 
602.5,0.3541318473388741 
609.0,0.34992906120006884 
615.5,0.3464905807324813 
622.0,0.34324130423788535 
628.5,0.33920695967510545 
635.0,0.33572184624210677 
641.5,0.3334334533312004 
648.0,0.3285180595318425 
654.5,0.3267141605906666 
661.0,0.3226091035632925 
667.5,0.31903669483042607 
674.0,0.3159574657355846 
680.5,0.31385630241346146 
687.0,0.3107184822882867 
693.5,0.30787717861962044 
